n0_3,EIGENFREQ_ALT_STUFE_5,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST
14.362,16.7,9.32,10155,16.1,1996,130
5.831,9.3,11.5,4061,16.85,1995,200
6.989,12.8,7.7,364,5.23,1893,160
4.508,8.7,9.6,1289,18.43,1973,140
6.633,9.6,9,1581.8,13.52,1996,200
10.328,17.5,6.8,1357,14.68,1976,110
5.435,8.5,13.45,7436.65,18.98,1995,230
8.339,13.96,8.4,1855,13.22,1988,160
4.401,7.2,11.9,2292,14.56,1993,200
4.071,6.1,18.7,14700,17.9,1973,160
4.071,6.1,18.7,14700,17.9,1973,160
9.73,24.41,5.2,466,16.61,1982,200
4.588,6.48,15.95,10246.3,18.56,1990,200
4.588,6.48,15.95,10246.3,18.56,1990,200
4.655,7.9,13.93,5658,17.11,1979,200
4.655,7.6,13.93,5658,17.11,1979,200
4.585,6,16,11990,21.47,1991,280
4.585,5.8,16,11990,21.47,1991,280
6.372,11.4,11.2,4338,16.754,1977,200
7.646,16.6,6.8,538,10.62,1978,160
4.738,8,11.57,2475,15.18,1996,200
6.265,8.37,10.6,2802,13.95,1988,160
8.339,14.32,8.4,1855,13.22,1988,160
4.947,7.5,12.3,3594,15.83,1990,160
4.947,7.6,12.3,3594,15.83,1990,160
3.312,4.4,19.4,10404,16.52,1989,140
5.011,11.2,11.7,2817,14.773,1981,140
4.208,5.08,16.2,7468,15.11,1991,200
11.65,16.9,5.49,610.6,12.22,1987,280
5.551,8.6,11,2743,15,1980,200
3.926,5.15,18.45,10684,14.76,1972,160
7.889,11.7,11.4,9373,22,1982,280
6.699,10.3,9.6,2317,15,1980,200
7.135,11.38,10.7,3748,13.86,1977,200
6.699,10.5,9.6,2317,15,1980,200
8.75,14.2,8.6,2896,17.06,1987,280
6.325,12.2,7,545,14,1994,160
2.877,4.38,20.2,11172,20,1997,230
2.993,5.4,17,4707,15.518,1992,160
5.642,9.2,11.5,3285,14.56,1973,160
5.465,8.5,10.4,2355,16.63,1978,140
22.932,23.5,5.5,2155,11.05,1959,120
4.114,6.55,14.6,5298,17,1964,200
7.135,11.56,10.7,3748,13.86,1977,200
4.138,5.4,18.53,13621,16.65,1986,160
6.232,16,7.5,508,10.2,1980,160
5.642,9.1,11.5,3285,14.56,1973,160
4.613,9.9,12.86,3907,16.56,1994,250
6.514,9.3,10.49,3981,19.12,2001,200
4.795,8.77,12.2,3037,14.71,1975,160
5.315,9.92,11.07,2417,14.06,2002,160
8.243,14,10,4332,15.73,1969,200
4.066,9.75,21,29966.4,23,1935,110
4.17,7.3,14,4870,17.99,1999,200
6.36,8.99,12.03,5411.5,15.76,1979,160
4.21,5.75,14.6,6202,19,2001,120
1.52,3.1,30.25,28579,36.45,1995,180
12.959,24,4.8,310,8.58,1957,200
2.523,5.165,17.7,4625.7,18.27,1996,230
7.91,11.7,9.8,3679,15.73,1992,230
5.931,7.3,12.2,5199,16.46,1991,200
4.475,6.35,17.2,14206,20,1989,200
4.767,8.07,12,2683,14.05,1999,160
3.914,6.5,12.6,2290,14.63,1993,200
4.651,6,16.5,14269,21.96,1981,250
4.591,6.9,12.5,3280.2,15.73,2009,200
5.91,5.6,11.8,3829,13.95,1977,200
4.273,7.15,15.5,6893,16.14,1980,160
6.084,7.95,11.3,4058.2,16.59,1989,200
4.814,6.16,15.92,12590,20.87,2001,250
5.581,8.7,11.7,3511,14.84,1995,200
5.11,9.9,10,1510,14.27,1994,200
4.4,7.9,12,2540,15.61,1999,160
2.993,5.4,17,4707,15.518,1992,160
4.584,8.5,12.9,3726,15.8,1995,160
4.462,6.17,14.6,5133,14,1964,200
7.529,11.6,9.1,2437,15.47,1997,200
2.848,5.7,16.4,4304,18.1,1983,160
3.929,9,15,7656,24.168,1995,250
6.451,9,10.49,3695,18.09,2001,200
6.084,8.72,11.3,4058.2,16.59,1989,200
8.75,14.1,8.6,2896,17.06,1987,280
6.076,8.48,11.54,3845,14.49,1994,200
11.486,29,6.13,1024.5,13.57,2004,230
4.412,6.9,12.4,2940,15.76,2001,200
7.889,11.7,11.4,9373,22,1982,280
8.528,12.9,8.28,1826,13.18,1998,200
4.472,6.9,13.85,6079,20.38,2003,200
11.71,17.33,5.5,535,10.52,1975,160
3.262,5.2,19.24,10274,17.39,2009,160
7.108,15.4,8.82,2492,20.11,1995,200
6.037,8.5,11.77,4498.9,15.87,1979,200
11.324,18.5,7.72,2647.3,14.34,1937,110
3.55,5.2,17.5,7634,15.934,1983,140
6.145,9.1,11.21,4495,18.6,1977,160
3.264,4.76,17,6204.8,17.21,1995,200
9.797,19.25,5.7,478.57,11.6538,1970,200
4.644,6.9,13.2,5639,21.25,1995,250
5.955,11.25,9.6,1874,15.35,1978,140
5.59,11.7,9.9,1677.38,13.79,1977,200
6.214,8.9,11.1,3787.3,15.94,1992,200
4.651,6,16.5,14269,21.96,1981,250
5.482,9.5,11,2646,14.84,1994,200
2.523,5.196,17.7,4625.7,18.27,1996,230
20.826,21.3,7.3,1042.29,2.088,1932,160
4.316,7.1,12.2,2529,15.12,1992,160
8.407,12.9,8.28,1885,14,1998,200
4.475,6.45,17.2,14206,20,1989,200
2.834,5.4,17.7,5564,17.41,1993,160
5.964,7.3,12.2,5053,15.82,1991,200
14.234,32.8,6.5,1586,10.82,1902,120
25.505,41.6,4,710,10.52,1912,120
4.273,7.05,15.5,6893,16.14,1980,160
10.056,21,6.1,715,12.6,1934,200
5.173,6.3,11.7,2662,13.1,1976,200
5.173,6.2,11.7,2662,13.1,1976,200
15.299,23.1,5.85,901,8.11,1900,200
4.594,8.37,9.6,1289,17.74,1973,140
4.654,7.9,12.5,3977,18.56,2003,200
4.412,7,12.4,2940,15.76,2001,200
4.82,6.16,15.92,12425,20.54,2001,250
15.481,19.1,5.85,901,7.92,1900,200
4.591,6.86,12.5,3280.2,15.73,2009,200
5.581,8.9,11.7,3511,14.84,1995,200
2.834,5.3,17.7,5564,17.41,1993,160
4.795,8.75,12.2,3037,14.71,1975,160
5.298,8.4,13.45,8141,21.87,1995,230
3.55,5.2,17.5,7634,15.934,1983,140
2.877,4.45,20.2,11172,20,1997,230
6.633,9.6,9,1581.8,13.52,1996,200
2.848,5.8,16.4,4304,18.1,1983,160
5.482,9.6,11,2646,14.84,1994,200
4.388,7.04,19.45,18014,16.13,1993,200
4.1,6.87,13.32,3352.4,15.634,1996,200
7.108,15.4,8.82,2492,20.11,1997,250
6.232,16.1,7.5,508,10.2,1980,160
9.797,19.12,5.7,478.57,11.6538,1970,200
12.842,25,7.15,2384.3,13.65,1935,120
4.401,7,13.4,4660,18.41,2000,140
4.546,8.5,11.4,1976,13.97,2003,160
5.608,8.4,11.3,3462,16.66,1985,200
5.616,11.7,9.9,1677.38,13.66,1977,200
4.109,5.4,16.88,10556,19,1976,200
7.082,10.2,11.25,6036,18.54,2002,250
7.108,16.1,8.82,2492,20.11,1995,200
5.74,10.9,11.8,3829,14.79,1977,200
12.964,24,4.8,307,8.49,1957,200
6.219,12.1,9.32,1743,14.74,1996,140
11.65,17,5.49,610.6,12.22,1987,280
4.278,5.18,15.85,7891,16.86,1991,200
4.1,6.54,13.32,3352.4,15.634,1996,200
6.357,9.13,12.03,6065.2,17.68,1979,160
4.17,7.4,14,4870,17.99,1999,200
8.243,14,10,4332,15.73,1969,200
11.738,17.33,5.5,535,10.47,1975,160
5.57,13.7,9.32,1647,17.36,1996,140
3.9,6.6,12.6,2077,13.37,1993,200
4.059,5.3,16.05,8825.8,19.92,1996,250
5.608,8.4,11.3,3462,16.66,1985,200
28.358,43.5,3.3,315,8.15,1929,200
9.411,15.01,6.6,756,11.1,1975,160
7.91,11.7,9.8,3679,15.73,1992,230
6.076,8.53,11.54,3845,14.49,1994,200
3.766,5,15.3,4520.9,14.35,1985,160
3.077,6.4,12.45,1716,18.61,1995,250
3.666,9.86,16.08,6772,18.6,2009,200
5.011,11.3,11.7,2817,14.773,1981,140
3.853,6.3,12.2,1950,14.63,1983,120
6.037,8.6,11.77,4498.9,15.87,1979,200
14.839,21.4,5.3,507,7.2,1912,130
3.929,9,15,7656,24.168,1995,250
3.264,4.75,17,6204.8,17.21,1995,200
4.472,6.7,13.85,6079,20.38,1985,200
9.949,21.2,6.1,561,10.1,1934,200
5.11,10.1,10,1510,14.27,1994,200
4.613,10,12.86,3907,16.56,1994,250
6.989,12.9,7.7,364,5.23,1893,160
10.328,18.5,7.72,2291,14.92,1931,110
11.348,29,6.13,1035.4,14.05,2004,230
28.358,41.4,3.3,315,8.15,1929,200
6.989,12.6,7.7,364,5.23,1893,160
3.191,9.6,12.6,1608,15.46,1989,160
115.852,26.1,2.3,1198,7.87,1937,150
5.551,8.6,11,2743,15,1980,200
115.852,24.6,2.3,1198,7.87,1937,150
